2023.04.28 23:01:46 [bffc,40c8] | displayevent 0 
2023.04.28 23:01:47 [bffc,40c8] | displayevent 1 
2023.04.28 23:01:59 [bffc,40c8] | displayevent 0 
2023.04.28 23:02:04 [bffc,40c8] | printer event 
2023.04.28 23:02:05 [bffc,40c8] | disconnect 
2023.04.28 23:02:05 [bffc,a258] | thread exit 
2023.04.28 23:02:05 [bffc,40c8] | portclose 
2023.04.28 23:03:07 [bffc,b860] | protocol ctor 
2023.04.28 23:03:07 [bffc,b860] | disconnect 
2023.04.28 23:03:07 [bffc,b860] | is stopped 
2023.04.28 23:03:07 [bffc,b860] | SSL connect: 192.168.2.12:4050 
2023.04.28 23:03:08 [bffc,b860] | start thread 
2023.04.28 23:03:08 [bffc,b860] | cancellation 
2023.04.28 23:03:08 [bffc,b860] | displayevent 0 
2023.04.28 23:03:11 [bffc,b860] | disconnect 
2023.04.28 23:03:11 [bffc,c020] | thread exit 
2023.04.28 23:03:11 [bffc,b860] | portclose 
2023.04.28 23:03:16 [bffc,a7b0] | protocol ctor 
2023.04.28 23:03:16 [bffc,a7b0] | disconnect 
2023.04.28 23:03:16 [bffc,a7b0] | is stopped 
2023.04.28 23:03:16 [bffc,a7b0] | SSL connect: 192.168.2.12:4050 
2023.04.28 23:03:16 [bffc,a7b0] | start thread 
2023.04.28 23:03:16 [bffc,a7b0] | cancellation 
2023.04.28 23:03:17 [bffc,a7b0] | displayevent 0 
2023.04.28 23:03:22 [bffc,a7b0] | disconnect 
2023.04.28 23:03:22 [bffc,7d68] | thread exit 
2023.04.28 23:03:22 [bffc,a7b0] | portclose 
2023.04.28 23:03:33 [bffc,a7b0] | protocol ctor 
2023.04.28 23:03:33 [bffc,a7b0] | disconnect 
2023.04.28 23:03:33 [bffc,a7b0] | is stopped 
2023.04.28 23:03:33 [bffc,a7b0] | SSL connect: 192.168.2.12:4050 
2023.04.28 23:03:34 [bffc,a7b0] | start thread 
2023.04.28 23:03:34 [bffc,a7b0] | payment 1100 
2023.04.28 23:03:34 [bffc,a7b0] | displayevent 0 
2023.04.28 23:03:35 [bffc,a7b0] | displayevent 1 
2023.04.28 23:03:43 [bffc,a7b0] | displayevent 0 
2023.04.28 23:03:48 [bffc,a7b0] | printer event 
2023.04.28 23:03:49 [bffc,a7b0] | disconnect 
2023.04.28 23:03:49 [bffc,c984] | thread exit 
2023.04.28 23:03:49 [bffc,a7b0] | portclose 
2023.04.28 23:06:34 [bffc,b6e8] | protocol ctor 
2023.04.28 23:06:34 [bffc,b6e8] | disconnect 
2023.04.28 23:06:34 [bffc,b6e8] | is stopped 
2023.04.28 23:06:34 [bffc,b6e8] | SSL connect: 192.168.2.12:4050 
2023.04.28 23:06:36 [bffc,b6e8] | start thread 
2023.04.28 23:06:36 [bffc,b6e8] | payment 900 
2023.04.28 23:06:36 [bffc,b6e8] | displayevent 0 
2023.04.28 23:06:37 [bffc,b6e8] | displayevent 1 
2023.04.28 23:06:47 [bffc,b6e8] | disconnect 
2023.04.28 23:06:47 [bffc,76f4] | thread exit 
2023.04.28 23:06:47 [bffc,b6e8] | portclose 
2023.04.28 23:06:57 [bffc,c31c] | protocol ctor 
2023.04.28 23:06:57 [bffc,c31c] | disconnect 
2023.04.28 23:06:57 [bffc,c31c] | is stopped 
2023.04.28 23:06:57 [bffc,c31c] | SSL connect: 192.168.2.12:4050 
